,VKORG,COND_TYPE,DST_CH,DIV,Month_year,Amount,Customer_ID,Internal_Grade,Mill,OFFER_ EFF_PR _NUMBER,OFFER_ALLOY_NUMBER,OFFER_ALLOY,OFFER_EFF_PR
48439,0300,Z133,02,02,202203,216.0,93607,2825,Duisburg,,,,
48440,0300,Z133,02,02,202203,504.0,93607,3346,Duisburg,,,,
48441,0300,Z133,02,02,202203,49.0,93589,3364,Duisburg,,,,
48442,0300,Z133,02,02,202203,139.0,84743,4436,Duisburg,,,,
48443,0300,Z133,02,02,202203,49.0,84743,3364,Duisburg,,,,
48444,0300,Z133,02,02,202203,49.0,84743,4405,Duisburg,,,,
48445,0300,Z133,02,02,202203,49.0,84743,3234,Duisburg,,,,
48446,0300,Z133,02,02,202203,48.0,84743,2589,Duisburg,,,,
48447,0300,Z133,02,02,202203,59.0,31503,3436,Duisburg,,74711.0,1,
48448,0300,Z133,02,02,202203,28.0,31503,3780,Duisburg,,,,
48449,0300,Z133,02,02,202203,26.0,31503,3785,Duisburg,,,,
48450,0300,Z133,02,02,202203,249.0,31503,3349,Duisburg,,,,
48451,0300,Z133,02,02,202203,126.0,31503,2810,Duisburg,,74720.0,1,
48452,0300,Z133,02,02,202203,49.0,31503,3370,Duisburg,,,,
48453,0300,Z133,02,02,202203,77.0,31503,3129,Duisburg,,,,
48454,0300,Z133,02,02,202203,131.0,31503,2603,Duisburg,,,,
48455,0300,Z133,02,02,202203,59.0,93616,3281,Duisburg,,,,
48456,0300,Z133,02,02,202203,59.0,93616,3434,Duisburg,,,,
48457,0300,Z133,02,02,202203,59.0,78254,3281,Duisburg,,,,
48458,0300,Z133,02,02,202203,59.0,78254,3436,Duisburg,,,,
48459,0300,Z133,02,02,202203,199.0,78254,2635,Duisburg,,,,
48460,0300,Z133,02,02,202203,67.0,78254,2626,Duisburg,,,,
48461,0300,Z133,02,02,202203,471.0,78254,2655,Duisburg,,74680.0,1,
48462,0300,Z133,02,02,202203,59.0,78254,3434,Duisburg,,,,
48463,0300,Z133,02,02,202203,49.0,78254,3364,Duisburg,,,,
48464,0300,Z133,02,02,202203,471.0,78254,2656,Duisburg,,,,
48465,0300,Z133,02,02,202203,49.0,78213,4405,Duisburg,,,,
48466,0300,Z133,02,02,202203,8.0,78213,2632,Duisburg,,,,
48467,0300,Z133,02,02,202203,67.0,78213,2607,Duisburg,,,,
48468,0300,Z133,02,02,202203,139.0,78213,4436,Duisburg,,,,
48469,0300,Z133,02,02,202203,48.0,78213,2589,Duisburg,,73025.0,1,
48470,0300,Z133,02,02,202203,59.0,93614,3437,Duisburg,,,,
48471,0300,Z133,02,02,202203,49.0,93614,3364,Duisburg,,,,
48472,0300,Z133,02,02,202203,49.0,93621,3364,Duisburg,,,,
48473,0300,Z133,02,02,202203,59.0,93621,3434,Duisburg,,74834.0,1,
48474,0300,Z133,02,02,202203,70.0,84716,4430,Duisburg,,,,
48475,0300,Z133,02,02,202203,59.0,93602,3434,Duisburg,,,,
48476,0300,Z133,02,02,202203,59.0,93652,3434,Duisburg,,,,
48477,0300,Z133,02,02,202203,49.0,93652,3364,Duisburg,,,,
48478,0300,Z133,02,02,202203,139.0,93652,4436,Duisburg,,,,
48479,0300,Z133,02,02,202203,59.0,93652,3436,Duisburg,,73580.0,1,
48480,0300,Z133,02,02,202203,77.0,93652,3129,Duisburg,,,,
48481,0300,Z133,02,02,202203,49.0,93581,3364,Duisburg,,,,
48482,0300,Z133,02,02,202203,139.0,93581,4436,Duisburg,,,,
48483,0300,Z133,02,02,202203,77.0,93581,3129,Duisburg,,,,
48484,0300,Z133,02,02,202203,67.0,93663,2606,Duisburg,,,,
48485,0300,Z133,02,02,202203,49.0,78292,3370,Duisburg,,,,
48486,0300,Z133,02,02,202203,48.0,78292,2589,Duisburg,,74703.0,1,
48487,0300,Z133,02,02,202203,59.0,93574,3437,Duisburg,,,,
48488,0300,Z133,02,02,202203,59.0,93574,3436,Duisburg,,,,
48489,0300,Z133,02,02,202203,77.0,93574,3129,Duisburg,73301.0,,,1
48490,0300,Z133,02,02,202203,139.0,93574,4436,Duisburg,,,,
48491,0300,Z133,02,02,202203,59.0,81162,3292,Duisburg,,,,
48492,0300,Z133,02,02,202203,471.0,81162,2655,Duisburg,,,,
48493,0300,Z133,02,02,202203,59.0,81162,3437,Duisburg,,,,
48494,0300,Z133,02,02,202203,467.0,81162,2680,Duisburg,,,,
48495,0300,Z133,02,02,202203,81.0,81162,3046,Duisburg,,70553.0,1,
48496,0300,Z133,02,02,202203,200.0,93707,3290,Duisburg,,73889.0,1,
48497,0300,Z133,02,02,202203,471.0,93599,2625,Duisburg,,72822.0,1,
48498,0300,Z133,02,02,202203,59.0,93599,3434,Duisburg,,,,
48499,0300,Z133,02,02,202203,59.0,93599,3436,Duisburg,,,,
48500,0300,Z133,02,02,202203,59.0,93599,3437,Duisburg,,,,
48501,0300,Z133,02,02,202203,199.0,93599,2635,Duisburg,,,,
48502,0300,Z133,02,02,202203,52.0,93599,3364,Duisburg,,,,
48503,0300,Z133,02,02,202203,52.0,93599,3363,Duisburg,,,,
48504,0300,Z133,02,02,202203,49.0,93599,3370,Duisburg,,,,
48505,0300,Z133,02,02,202203,52.0,93599,4434,Duisburg,,74211.0,1,
48506,0300,Z133,02,02,202203,49.0,93579,3413,Duisburg,,72944.0,1,
48507,0300,Z133,02,02,202203,49.0,93579,4405,Duisburg,,72908.0,1,
48508,0300,Z133,02,02,202203,49.0,93579,3364,Duisburg,,,,
48509,0300,Z133,02,02,202203,77.0,93579,3129,Duisburg,,,,
48510,0300,Z133,02,02,202203,139.0,93579,4436,Duisburg,,,,
48511,0300,Z133,02,02,202203,52.0,84698,3364,Duisburg,,,,
48512,0300,Z133,02,02,202203,52.0,84698,3363,Duisburg,,,,
48513,0300,Z133,02,02,202203,52.0,84698,4434,Duisburg,,,,
48514,0300,Z133,02,02,202203,521.0,84698,2625,Duisburg,,,,
48515,0300,Z133,02,02,202203,59.0,84698,3436,Duisburg,,,,
48516,0300,Z133,02,02,202203,59.0,84698,3437,Duisburg,,71504.0,1,
48517,0400,Z133,02,02,202203,216.0,93607,SU10MNMO,Hamburg,,,,
48518,0400,Z133,02,02,202203,537.0,93607,SG6NiMo,Hamburg,,,,
48519,0400,Z133,02,02,202203,219.0,93607,K52Ni,Hamburg,,,,
48520,0400,Z133,02,02,202203,444.0,93607,SG3MoV,Hamburg,,,,
48521,0400,Z133,02,02,202203,211.0,93607,SG1NiCu30,Hamburg,,,,
48522,0400,Z133,02,02,202203,403.0,93607,SU8NiMo,Hamburg,,,,
48523,0400,Z133,02,02,202203,504.0,93607,SU12CrMo,Hamburg,,,,
48524,0400,Z133,02,02,202203,477.0,93607,SU6MoCr550,Hamburg,,,,
48525,0400,Z133,02,02,202203,524.0,93607,SG2CrMo95,Hamburg,,,,
48526,0400,Z133,02,02,202203,455.0,93607,SG2NiMo25,Hamburg,,,,
48527,0400,Z133,02,02,202203,278.0,93607,SG3CrMo,Hamburg,,,,
48528,0400,Z133,02,02,202203,220.0,93607,SU10MoSi,Hamburg,,,,
48529,0400,Z133,02,02,202203,556.0,93607,SU9VNb,Hamburg,,,,
48530,0400,Z133,02,02,202203,658.0,93607,SU8Ni320,Hamburg,,,,
48531,0400,Z133,02,02,202203,734.0,93607,SG8Cr900,Hamburg,,,,
48532,0400,Z133,02,02,202203,749.0,93607,SG9NiMo,Hamburg,,,,
48533,0400,Z133,02,02,202203,478.0,93607,SU6MoNi145,Hamburg,,,,
48534,0400,Z133,02,02,202203,744.0,93607,S3NiMoCr,Hamburg,,,,
48535,0400,Z133,02,02,202203,219.0,93607,SG3Ni ,Hamburg,,,,
48536,0400,Z133,02,02,202203,177.0,93607,SG1NiCu,Hamburg,,,,
48537,0400,Z133,02,02,202203,320.0,93607,SG8Ni,Hamburg,,,,
48538,0400,Z133,02,02,202203,291.0,93607,SU9NiMo,Hamburg,,,,
48539,0400,Z133,02,02,202203,221.0,93607,SU10MoSi,Hamburg,,,,
48540,0400,Z133,02,02,202203,250.0,93607,SG1Mo,Hamburg,,,,
48541,0400,Z133,02,02,202203,529.0,93607,SG8SiCr,Hamburg,,,,
48542,0400,Z133,02,02,202203,261.0,93607,SU13CrMo,Hamburg,,,,
48543,0400,Z133,02,02,202203,493.0,93607,SG2Ni235,Hamburg,,,,
48544,0400,Z133,02,02,202203,284.0,93607,SG1MoCr115,Hamburg,,,,
48545,0400,Z133,02,02,202203,110.0,93607,SU8Ni,Hamburg,,,,
48546,0400,Z133,02,02,202203,259.0,93607,SG1MnMo,Hamburg,,,,
48547,0400,Z133,02,02,202203,589.0,93607,SU11CrMo,Hamburg,,,,
